Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Ordered_Date_Year,Ordered_Date_Month,Ordered_Date_Day,Time_OrderPicked_hours,Time_OrderPicked_mins,Time_Orderd_hours,Time_Orderd_mins,Time_taken (min),Distance_covered
23.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,10,19,35,19,30,33,19.974200402690443
37.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,2022,2,15,8,30,8,15,23,1.5099339507374587
35.0,4.9,Stormy,Low,2,scooter,0.0,No,Urban,2022,3,30,9,30,9,15,23,3.0189114817580243
39.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,1,18,45,18,30,31,4.596439723177665
20.0,4.8,Cloudy,High,1,scooter,1.0,No,Metropolitian,2022,3,13,11,55,11,40,22,2.979598701342032
,,,,0,motorcycle,1.0,No,Metropolitian,2022,3,29,19,15,19,35,39,10.907140151568116
39.0,4.6,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,15,21,15,21,10,27,9.348433430020537
35.0,4.9,Sunny,Low,1,scooter,,No,Urban,2022,3,8,23,5,19,35,24,10.705622903496977
28.0,4.7,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,20,5,19,50,23,20.286769465746783
36.0,4.5,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,12,21,10,20,55,40,13.392708074822348
20.0,,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,2022,2,17,19,35,20,50,28,4.681791331017202
32.0,4.3,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,2022,3,8,19,5,19,35,32,10.906324615073055
,,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,2,11,19,35,19,35,32,9.07993040755908
39.0,4.5,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,2022,2,17,19,35,19,35,22,4.464846077192792
28.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Urban,2022,3,15,23,55,23,40,10,4.610621612645187
36.0,4.5,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,28,10,40,10,35,19,3.019099196741175
21.0,4.9,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,14,21,45,21,30,35,10.485867717329027
23.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,4,4,19,45,19,30,30,16.72143013885536
25.0,4.7,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,21,50,21,45,37,11.983656938071034
27.0,4.7,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,8,22,55,22,45,23,13.68204452608078
22.0,4.7,Windy,High,0,motorcycle,0.0,No,Metropolitian,2022,3,19,11,55,11,45,29,3.063638579712219
34.0,4.6,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,26,18,35,18,30,25,9.435201537430713
24.0,4.8,Stormy,Low,2,scooter,0.0,No,Urban,2022,3,25,22,35,22,30,11,16.635518179509837
32.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,4,17,50,17,45,39,19.91643253383936
30.0,4.4,Stormy,Jam,1,motorcycle,2.0,No,Urban,2022,3,23,20,35,20,25,39,13.78848075238715
26.0,4.6,Sunny,Medium,2,scooter,1.0,No,Metropolitian,2022,3,6,17,35,17,30,18,10.86742683448048
30.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,2022,3,2,18,35,18,30,33,20.18063511411472
31.0,4.8,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,13,18,15,18,10,24,7.761486237714824
31.0,4.8,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,28,10,55,10,50,18,1.4901538808207615
39.0,4.8,Cloudy,High,2,scooter,1.0,No,Metropolitian,2022,2,17,11,30,11,20,39,1.5725337292863206
38.0,4.7,Sunny,High,2,scooter,1.0,No,Urban,2022,3,3,11,40,11,30,18,3.059443338897214
30.0,4.9,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,21,19,40,19,25,30,4.469620875558295
28.0,4.5,Fog,High,2,scooter,1.0,No,Metropolitian,2022,4,5,14,5,13,50,21,6.14663364596065
30.0,4.9,Fog,Medium,2,scooter,0.0,No,Urban,2022,4,3,18,10,17,55,16,9.121049806498666
37.0,4.1,Sandstorms,High,2,scooter,0.0,No,Metropolitian,2022,3,13,12,35,12,25,32,6.210946741810896
36.0,4.7,Windy,Low,2,scooter,1.0,No,Metropolitian,2022,4,4,22,40,22,25,21,20.206420943723728
20.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,2022,3,12,20,20,20,10,42,12.43553817483687
34.0,4.6,Cloudy,Medium,2,scooter,0.0,No,Urban,2022,3,1,17,40,17,30,17,7.57343592001983
26.0,4.7,Stormy,Low,2,scooter,1.0,No,,2022,2,18,22,50,22,40,17,20.28602593785875
38.0,3.5,Windy,Jam,2,electric_scooter,0.0,No,Urban,2022,3,20,19,35,19,25,41,20.86362506156607
33.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,2022,3,8,19,35,22,50,30,19.659792615101523
37.0,5.0,Windy,Low,0,motorcycle,1.0,No,Urban,2022,3,31,22,40,22,35,28,19.615926964388624
31.0,4.6,Fog,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,11,23,55,23,40,16,4.657579589646204
29.0,4.6,Fog,Jam,2,scooter,0.0,No,Metropolitian,2022,3,5,22,5,19,35,26,4.674174529063472
20.0,4.1,Stormy,Medium,0,motorcycle,1.0,No,Urban,2022,3,8,17,25,17,20,35,20.20631641648197
36.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,18,20,25,20,10,17,20.44292976252901
34.0,4.5,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,9,17,35,17,20,26,9.315745106316244
28.0,4.6,Fog,High,0,motorcycle,0.0,No,Metropolitian,2022,2,17,11,35,11,25,21,3.121378243248519
31.0,4.4,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,8,19,25,19,20,36,10.865084189986677
25.0,5.0,Stormy,High,2,motorcycle,1.0,No,Metropolitian,2022,4,3,11,45,11,40,29,3.108902629159348
22.0,4.6,Sunny,Medium,1,motorcycle,0.0,No,Urban,2022,3,6,17,50,17,40,13,17.07362495419754
23.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,2022,2,17,10,45,10,35,19,1.543962384290521
37.0,5.0,Sandstorms,High,2,scooter,1.0,No,Urban,2022,3,19,19,35,13,45,28,6.081596950437154
34.0,4.2,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,1,10,55,10,45,25,3.073397297636044
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,2022,3,14,17,55,17,50,15,13.407092693002484
36.0,5.0,Sandstorms,Jam,2,motorcycle,0.0,No,Metropolitian,2022,3,30,19,35,19,50,32,4.590648124312415
22.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,14,22,40,22,35,20,12.256927745913815
28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,25,22,25,22,20,22,19.976095320024395
28.0,4.6,Stormy,Medium,2,electric_scooter,1.0,No,Urban,2022,3,15,19,35,15,45,25,6.081387490813416
50.0,6.0,,,3,scooter,1.0,No,Metropolitian,2022,2,13,19,35,19,35,15,18093.17983804978
28.0,4.6,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,2022,3,8,18,10,17,55,19,16.385045825961107
38.0,4.8,Windy,Low,2,motorcycle,1.0,No,Urban,2022,3,21,9,20,9,15,24,3.064002956584147
34.0,4.6,Fog,Jam,0,motorcycle,1.0,No,Urban,2022,3,3,21,45,21,35,30,9.326113870789774
38.0,4.9,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,4,23,20,23,10,25,13.773737657079298
21.0,4.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,21,30,21,15,32,16.412746797461725
28.0,4.6,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,2022,3,9,19,35,8,55,11,1.5581369822072066
25.0,4.9,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,2022,4,3,15,55,15,40,29,6.290134677634678
39.0,4.6,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,16,22,40,22,35,16,20.206581510507974
36.0,3.5,Stormy,Jam,2,scooter,2.0,No,Urban,2022,2,16,21,45,21,40,41,20.44292976252901
23.0,4.8,Sunny,Low,2,scooter,1.0,No,Urban,2022,3,1,19,35,22,55,16,4.561113588992224
,,,,3,scooter,1.0,No,Metropolitian,2022,3,30,20,35,19,35,29,4.469620875558295
20.0,4.2,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,2,14,21,15,19,35,35,13.588885841387288
,,,,3,electric_scooter,0.0,No,Metropolitian,2022,3,13,12,40,19,35,29,6.290134677634678
39.0,4.6,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,16,23,50,23,35,27,19.671433318359583
31.0,4.6,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,25,18,50,18,40,46,16.851738065958607
36.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,2022,3,1,22,55,22,45,16,9.348403522662323
38.0,4.6,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,13,18,5,17,55,22,9.07534450196205
29.0,5.0,Windy,High,0,motorcycle,1.0,No,Metropolitian,2022,4,5,12,15,19,35,22,3.0736184684147863
34.0,4.9,Sunny,Jam,2,electric_scooter,,No,Metropolitian,2022,3,17,19,35,21,50,15,4.46931202175492
32.0,4.8,Fog,Low,1,scooter,0.0,No,Metropolitian,2022,3,28,9,30,9,15,15,3.145067434621583
33.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,2022,3,9,8,50,8,35,19,1.5092307910796248
28.0,4.7,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,2022,2,18,22,30,22,25,17,13.428872375814215
33.0,4.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,2022,3,2,19,35,23,55,27,19.880040740546
29.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,2022,3,2,23,5,22,55,24,13.970632221184006
20.0,4.6,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,2022,4,5,17,20,17,10,29,4.6576255671472415
29.0,4.8,Sunny,Low,1,scooter,,No,Metropolitian,2022,3,9,19,35,10,45,23,3.104691169539904
22.0,4.8,Stormy,Medium,1,scooter,1.0,No,Urban,2022,3,2,18,35,18,30,15,13.407033668284814
32.0,4.2,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,28,22,5,21,50,32,7.448560816474598
39.0,4.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,7,19,30,19,25,33,7.5620793211870625
20.0,4.6,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,2,12,19,35,20,45,38,11.00773476374462
27.0,4.6,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,29,19,50,19,40,15,10.724517748046024
35.0,4.9,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,24,9,55,9,45,22,1.5127140854704322
33.0,5.0,Stormy,Medium,1,scooter,1.0,No,Metropolitian,2022,4,4,18,10,19,35,27,10.564987742503256
30.0,4.7,Fog,Low,2,motorcycle,0.0,No,Urban,2022,4,3,23,55,23,50,16,7.562982485200133
21.0,4.6,Sunny,High,1,motorcycle,0.0,No,Metropolitian,2022,3,28,11,55,11,50,19,3.105049191152739
26.0,4.5,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,18,20,45,20,40,17,12.23737947367096
26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,2022,2,12,19,50,19,45,36,13.428477357470896
,,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,9,22,30,22,15,25,4.663187802146826
25.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,2022,2,17,18,40,18,25,16,7.325558747690406
38.0,4.2,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,15,15,45,15,30,39,6.081139317039376
38.0,4.7,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,4,1,21,25,21,20,33,7.772207463584183
21.0,4.6,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,2022,3,5,10,35,10,25,17,3.029527086813746
,,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,15,21,5,19,35,24,8.79014067052428
22.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,2022,3,4,17,40,17,25,14,16.63651695459671
30.0,4.6,Cloudy,Jam,2,electric_scooter,2.0,No,Metropolitian,2022,3,3,19,35,21,45,38,7.601066543768378
37.0,5.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,2022,4,1,9,25,9,15,29,3.1161407812915187
24.0,4.6,Fog,Medium,2,scooter,0.0,No,Metropolitian,2022,4,3,19,35,15,55,17,6.21800234869445
27.0,4.9,Sunny,Jam,1,motorcycle,0.0,No,Urban,2022,3,11,21,50,21,45,19,4.5279972125744
38.0,4.8,Sunny,Medium,1,scooter,1.0,No,Metropolitian,2022,3,31,19,5,18,50,23,19.97528686238852
34.0,4.4,Stormy,Jam,2,scooter,1.0,No,Urban,2022,3,5,19,35,21,45,31,7.762944133594541
38.0,4.8,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,15,18,55,18,40,28,9.348112475389565
38.0,3.9,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,2022,3,2,19,50,19,40,34,12.435204072231338
22.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,2,19,45,19,40,27,20.252967850083056
23.0,4.9,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,2022,3,18,20,20,20,10,23,20.25510293833981
24.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Urban,2022,2,11,10,25,10,15,16,1.5725337292863206
35.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,4,5,22,35,22,20,16,9.17785559642758
21.0,4.8,Sandstorms,Low,2,motorcycle,0.0,No,Urban,2022,3,21,8,35,8,30,13,3.1089029191679383
26.0,4.1,Fog,Jam,2,scooter,1.0,No,Metropolitian,2022,3,29,20,10,19,55,36,13.972131143083212
38.0,4.8,Fog,Low,2,electric_scooter,1.0,No,,2022,3,11,9,55,9,50,19,1.5204696675466998
32.0,4.9,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,2022,4,6,20,5,19,35,28,17.074879617078196
28.0,4.7,Fog,Medium,1,motorcycle,0.0,No,Urban,2022,3,19,19,35,17,50,19,4.717601092054723
30.0,4.6,Sandstorms,Low,2,motorcycle,1.0,No,Urban,2022,3,5,9,40,9,35,23,1.5126978119717678
39.0,4.6,Cloudy,Jam,2,motorcycle,1.0,Yes,Semi-Urban,2022,3,29,19,35,21,45,47,16.818368923732613
21.0,4.9,Fog,High,0,motorcycle,,No,Metropolitian,2022,3,21,11,40,11,30,20,1.532022774064172
25.0,4.8,Windy,High,1,motorcycle,1.0,No,Metropolitian,2022,2,11,13,25,13,15,28,5.968779676050775
,,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,2022,4,5,15,30,19,35,16,4707.899348647743
22.0,4.7,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,2022,3,9,18,10,17,55,21,4.674341511234465
25.0,4.4,Fog,Jam,1,motorcycle,1.0,Yes,Metropolitian,2022,3,14,21,10,19,35,44,13.788852089943369
25.0,4.6,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,2022,3,26,18,5,19,35,10,9.219878421275038
37.0,4.4,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,2022,4,6,19,35,18,45,39,20.253584375809144
33.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,2022,3,15,11,25,11,15,26,3.0408940852046724
33.0,4.2,Cloudy,Medium,1,scooter,2.0,No,Urban,2022,3,16,17,25,17,15,42,12.256834609677016
33.0,4.7,Sunny,Low,1,scooter,0.0,No,Urban,2022,3,13,22,45,22,35,12,7.761735387691425
32.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,2022,4,2,20,15,20,10,38,20.44292976252901
27.0,4.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,5,8,35,8,30,18,1.5147453171152914
38.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,2022,3,26,19,15,19,10,30,7.862668167410368
30.0,4.6,Sunny,Low,2,scooter,1.0,No,Metropolitian,2022,2,16,22,35,22,20,25,14.15280068944862
28.0,4.1,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,14,21,25,21,15,32,11.748326016095028
30.0,4.9,Sunny,Medium,2,scooter,1.0,No,Metropolitian,2022,3,31,18,55,18,40,22,19.76089839940378
23.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,2,15,8,30,8,25,14,3.145067434621583
31.0,4.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,4,1,10,55,10,45,23,1.5321547990764783
20.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,2022,3,25,21,35,21,25,32,10.709003371535417
32.0,4.2,Fog,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,26,22,15,19,35,39,4.528158738548494
21.0,4.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,20,20,55,20,45,16,12.463888116757747
34.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,18,18,55,18,45,27,10.64218546208277
20.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Urban,2022,3,28,19,35,19,30,25,9.17860595704086
,,,,0,motorcycle,1.0,No,Metropolitian,2022,3,30,19,35,19,35,25,17123.07429430001
31.0,4.9,Sandstorms,Jam,0,motorcycle,1.0,No,Semi-Urban,2022,4,3,19,35,19,30,46,7.683740930982763
20.0,4.8,Sandstorms,Low,1,motorcycle,0.0,No,,2022,4,4,19,35,23,45,14,20.18125982649362
29.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Urban,2022,3,6,19,35,23,50,28,16.90249592854745
23.0,3.8,Sunny,Jam,0,motorcycle,2.0,Yes,Metropolitian,2022,3,13,19,30,19,25,41,7.762633866101877
39.0,4.5,Sunny,Low,1,scooter,1.0,No,Urban,2022,3,16,22,30,22,25,24,19.917359352866207
27.0,4.6,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,28,8,50,8,35,17,1.5322885596942126
33.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,3,6,19,45,19,35,29,12.421242442902573
24.0,4.8,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,30,10,25,10,20,11,3.1048037532854496
21.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,No,Urban,2022,3,30,21,30,21,25,38,4.528164580408178
35.0,4.3,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,2022,2,11,11,40,11,25,43,1.5725337292863206
32.0,4.6,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,2,18,19,5,18,55,30,14.045114628498522
26.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,2022,3,25,19,15,19,35,35,13.68092007746041
23.0,4.9,Sandstorms,Jam,1,motorcycle,0.0,No,Metropolitian,2022,4,2,21,35,21,20,25,19.761706467413592
38.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,2022,3,13,18,25,18,10,20,7.763161028493024
39.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,2022,3,21,8,40,8,35,20,3.059363454723932
28.0,4.6,Fog,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,8,22,55,22,45,25,13.830709083522445
37.0,4.6,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,26,22,10,21,55,19,9.179538450826046
26.0,4.9,Cloudy,High,2,electric_scooter,1.0,No,Metropolitian,2022,3,11,11,40,11,35,31,1.5525722988574742
26.0,4.7,Cloudy,High,1,scooter,1.0,No,Metropolitian,2022,3,5,12,40,12,35,33,6.147383751705428
28.0,4.7,Stormy,Jam,2,scooter,1.0,No,Metropolitian,2022,3,30,19,35,21,55,18,9.05586019430546
23.0,4.8,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,14,19,35,23,55,18,20.25292440884735
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,,2022,3,3,8,35,8,25,27,3.058924545938562
38.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,19,17,20,17,15,28,7.562414628937605
21.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,28,16,45,16,40,16,6.0497653967074685
20.0,4.8,Stormy,Jam,1,scooter,0.0,No,Metropolitian,2022,3,16,20,25,20,10,25,13.61385032584042
25.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,11,9,50,9,35,20,3.1051455399287056
28.0,4.9,Sunny,Low,2,scooter,0.0,No,Urban,2022,3,15,19,35,10,55,19,1.5725337292863206
22.0,4.7,Windy,Medium,1,scooter,1.0,No,Urban,2022,3,29,17,30,17,15,28,10.708220667367794
32.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,4,3,9,30,9,15,16,1.5298253586323256
31.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,6,22,5,19,35,36,10.72467208673564
30.0,4.8,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,2022,3,13,18,25,18,15,23,7.762596264580148
26.0,4.6,Fog,Medium,1,scooter,1.0,No,Metropolitian,2022,3,25,17,55,17,45,25,10.58681760722298
32.0,4.2,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,2022,3,4,19,35,19,50,40,19.87743959766233
22.0,5.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,2,22,50,22,45,19,10.588906536688087
23.0,4.5,Sunny,Medium,1,scooter,0.0,No,Urban,2022,3,29,18,25,18,20,11,12.435256015114376
30.0,5.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,2022,3,29,23,15,23,10,20,12.294166376369663
27.0,5.0,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,3,22,45,22,35,13,4.674173521866281
27.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,4,20,50,20,40,41,12.071652559029582
38.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,18,19,35,22,45,41,12.35809128933754
37.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,2022,3,24,21,30,21,20,22,9.314781588433537
30.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,2022,3,20,23,5,22,55,30,19.659373527443684
22.0,5.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,26,23,30,23,15,17,9.22031682218032
34.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,2022,3,18,19,55,19,45,39,16.636744591831217
33.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,17,10,25,10,20,25,1.488122293779747
25.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,2022,3,1,10,30,10,20,14,1.5581398113186735
36.0,4.8,Fog,Medium,1,motorcycle,1.0,No,Urban,2022,3,31,18,50,18,45,35,16.72059667667709
35.0,4.3,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,15,22,10,21,55,33,9.121874081416118
29.0,5.0,Fog,Medium,2,scooter,0.0,No,Urban,2022,3,24,16,10,15,55,12,6.081389116676368
24.0,4.5,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,2022,3,13,9,35,9,30,13,1.514793721388757
